model,period,start,end,n,accuracy
logreg,1,2022-10-31,2023-11-16,274,0.4891
logreg,2,2023-11-17,2024-12-04,274,0.4927
logreg,3,2024-12-05,2025-12-30,275,0.4982
svm,1,2022-10-31,2023-11-16,274,0.4854
svm,2,2023-11-17,2024-12-04,274,0.4562
svm,3,2024-12-05,2025-12-30,275,0.5091
xgboost,1,2022-10-31,2023-11-16,274,0.4161
xgboost,2,2023-11-17,2024-12-04,274,0.4672
xgboost,3,2024-12-05,2025-12-30,275,0.4982
lightgbm,1,2022-10-31,2023-11-16,274,0.4818
lightgbm,2,2023-11-17,2024-12-04,274,0.4854
lightgbm,3,2024-12-05,2025-12-30,275,0.4873
lstm,1,2022-10-31,2023-11-16,274,0.5036
lstm,2,2023-11-17,2024-12-04,274,0.4781
lstm,3,2024-12-05,2025-12-30,275,0.4836
baseline_majority,1,2022-10-31,2023-11-16,274,0.4964
baseline_majority,2,2023-11-17,2024-12-04,274,0.5292
baseline_majority,3,2024-12-05,2025-12-30,275,0.5164
baseline_random,1,2022-10-31,2023-11-16,274,0.4745
baseline_random,2,2023-11-17,2024-12-04,274,0.4708
baseline_random,3,2024-12-05,2025-12-30,275,0.5236
baseline_persistence,1,2022-10-31,2023-11-16,274,0.5401
baseline_persistence,2,2023-11-17,2024-12-04,274,0.5219
baseline_persistence,3,2024-12-05,2025-12-30,275,0.5164
baseline_ar1,1,2022-10-31,2023-11-16,274,0.4599
baseline_ar1,2,2023-11-17,2024-12-04,274,0.4891
baseline_ar1,3,2024-12-05,2025-12-30,275,0.4836
