model,period,start,end,n,accuracy
logreg,1,2025-11-03,2025-11-19,13,0.6154
logreg,2,2025-11-20,2025-12-09,14,0.4286
logreg,3,2025-12-10,2025-12-30,14,0.5714
svm,1,2025-11-03,2025-11-19,13,0.4615
svm,2,2025-11-20,2025-12-09,14,0.3571
svm,3,2025-12-10,2025-12-30,14,0.5
xgboost,1,2025-11-03,2025-11-19,13,0.3077
xgboost,2,2025-11-20,2025-12-09,14,0.3571
xgboost,3,2025-12-10,2025-12-30,14,0.6429
lightgbm,1,2025-11-03,2025-11-19,13,0.3077
lightgbm,2,2025-11-20,2025-12-09,14,0.4286
lightgbm,3,2025-12-10,2025-12-30,14,0.5714
lstm,1,2025-11-03,2025-11-19,13,0.4615
lstm,2,2025-11-20,2025-12-09,14,0.5714
lstm,3,2025-12-10,2025-12-30,14,0.4286
baseline_majority,1,2025-11-03,2025-11-19,13,0.5385
baseline_majority,2,2025-11-20,2025-12-09,14,0.4286
baseline_majority,3,2025-12-10,2025-12-30,14,0.5714
baseline_random,1,2025-11-03,2025-11-19,13,0.5385
baseline_random,2,2025-11-20,2025-12-09,14,0.6429
baseline_random,3,2025-12-10,2025-12-30,14,0.6429
baseline_persistence,1,2025-11-03,2025-11-19,13,0.6923
baseline_persistence,2,2025-11-20,2025-12-09,14,0.5714
baseline_persistence,3,2025-12-10,2025-12-30,14,0.4286
baseline_ar1,1,2025-11-03,2025-11-19,13,0.4615
baseline_ar1,2,2025-11-20,2025-12-09,14,0.5714
baseline_ar1,3,2025-12-10,2025-12-30,14,0.4286
